Country,Total_Cooperation_Count
Sweden,62
Switzerland,131
TURKEY,1
Tae Wan,1
Taiwan,234
Tanja,1
Tanusree,1
Tarek,3
Taylor,1
Teppo,1
Teri Elkins,1
Tessa,2
Thailand,39
Themin,1
Theresa,1
Therese,1
Thomas,3
Thomas Li-Ping,2
Thorsten,2
Throstur Olaf,3
Thyra Uth,1
Tianni,5
Tim,9
Timothy Paul,2
Tinghua,3
Tobias,4
Tolga,1
Tomasz,2
Toto,19
Travis,1
Trinidad Tobago,4
Tulin,1
Tunisia,4
Turkey,123
U Arab Emirates,38
UK,784
USA,3781
Uganda,1
Uwe,1
Victoria,1
Vietnam,9
Virginia,1
Wanxian,1
Wentao,1
Won Yong,1
Xiao,5
Xiaohong,1
Xiaoshuang,1
Xiuyuan,1
Xue,1
Yaoshan,1
Yi-Pin,1
Yidong,1
Yuan,1
Yuanyuan,1
Yuxiang,1
Zhi Xing,1
