Country_1,Country_2,Cooperation_Count,Country_Pair
Australia,Renaud,1,"('Australia', 'Renaud')"
Charbel Jose Chiappetta,Indonesia,5,"('Charbel Jose Chiappetta', 'Indonesia')"
France,Indonesia,7,"('France', 'Indonesia')"
Charbel Jose Chiappetta,France,6,"('Charbel Jose Chiappetta', 'France')"
Camille,Canada,3,"('Camille', 'Canada')"
Belgium,Camille,9,"('Belgium', 'Camille')"
Camille,Camille,3,"('Camille', 'Camille')"
Francois,South Africa,1,"('Francois', 'South Africa')"
Ishrat,USA,1,"('Ishrat', 'USA')"
Eva-Maria,Gregor,1,"('Eva-Maria', 'Gregor')"
Germany,Gregor,1,"('Germany', 'Gregor')"
Belgium,Gregor,1,"('Belgium', 'Gregor')"
Eva-Maria,Germany,1,"('Eva-Maria', 'Germany')"
Belgium,Eva-Maria,1,"('Belgium', 'Eva-Maria')"
Anna Clare,Jagjit,1,"('Anna Clare', 'Jagjit')"
Anna Clare,Australia,1,"('Anna Clare', 'Australia')"
Australia,Jagjit,1,"('Australia', 'Jagjit')"
David,France,3,"('David', 'France')"
David,New Zealand,1,"('David', 'New Zealand')"
Arman,UK,3,"('Arman', 'UK')"
India,Switzerland,3,"('India', 'Switzerland')"
Australia,Michal,1,"('Australia', 'Michal')"
Canada,Michal,1,"('Canada', 'Michal')"
Iceland,Monia,1,"('Iceland', 'Monia')"
Iceland,Italy,1,"('Iceland', 'Italy')"
Italy,Monia,1,"('Italy', 'Monia')"
France,Ireland,4,"('France', 'Ireland')"
Arthur,Susan,1,"('Arthur', 'Susan')"
France,Susan,1,"('France', 'Susan')"
Susan,Switzerland,1,"('Susan', 'Switzerland')"
Arthur,Switzerland,1,"('Arthur', 'Switzerland')"
Katarina Katja,Slovenia,1,"('Katarina Katja', 'Slovenia')"
Adelien,Italy,1,"('Adelien', 'Italy')"
Adelien,Belgium,2,"('Adelien', 'Belgium')"
Armin Pircher,Maxim,2,"('Armin Pircher', 'Maxim')"
Germany,Maxim,2,"('Germany', 'Maxim')"
Armin Pircher,Germany,2,"('Armin Pircher', 'Germany')"
Ghana,UK,3,"('Ghana', 'UK')"
France,Ulrich,1,"('France', 'Ulrich')"
France,Thorsten,1,"('France', 'Thorsten')"
Antoinette,France,1,"('Antoinette', 'France')"
France,Simon,1,"('France', 'Simon')"
Thorsten,Ulrich,1,"('Thorsten', 'Ulrich')"
Switzerland,Ulrich,2,"('Switzerland', 'Ulrich')"
Germany,Ulrich,1,"('Germany', 'Ulrich')"
Antoinette,Ulrich,1,"('Antoinette', 'Ulrich')"
Simon,Ulrich,1,"('Simon', 'Ulrich')"
Isabelle,Ulrich,1,"('Isabelle', 'Ulrich')"
Switzerland,Thorsten,2,"('Switzerland', 'Thorsten')"
Antoinette,Thorsten,1,"('Antoinette', 'Thorsten')"
Simon,Thorsten,1,"('Simon', 'Thorsten')"
Isabelle,Thorsten,1,"('Isabelle', 'Thorsten')"
Antoinette,Switzerland,2,"('Antoinette', 'Switzerland')"
Simon,Switzerland,2,"('Simon', 'Switzerland')"
Isabelle,Switzerland,2,"('Isabelle', 'Switzerland')"
Antoinette,Germany,1,"('Antoinette', 'Germany')"
Germany,Simon,1,"('Germany', 'Simon')"
Germany,Isabelle,1,"('Germany', 'Isabelle')"
Antoinette,Simon,1,"('Antoinette', 'Simon')"
Antoinette,Isabelle,1,"('Antoinette', 'Isabelle')"
Isabelle,Simon,1,"('Isabelle', 'Simon')"
Australia,Roman,2,"('Australia', 'Roman')"
Grant,Roman,1,"('Grant', 'Roman')"
Australia,Grant,2,"('Australia', 'Grant')"
Alaa Mansour,UK,7,"('Alaa Mansour', 'UK')"
Alaa Mansour,Egypt,3,"('Alaa Mansour', 'Egypt')"
Alaa Mansour,New Zealand,1,"('Alaa Mansour', 'New Zealand')"
Egypt,New Zealand,2,"('Egypt', 'New Zealand')"
Abdul,Rozaimah,1,"('Abdul', 'Rozaimah')"
Abdul,Malaysia,1,"('Abdul', 'Malaysia')"
Malaysia,Rozaimah,1,"('Malaysia', 'Rozaimah')"
Mohammed,Shamsun,1,"('Mohammed', 'Shamsun')"
Australia,Mohammed,2,"('Australia', 'Mohammed')"
Mohammed,New Zealand,1,"('Mohammed', 'New Zealand')"
Mohammed,Oman,2,"('Mohammed', 'Oman')"
Australia,Shamsun,1,"('Australia', 'Shamsun')"
New Zealand,Shamsun,1,"('New Zealand', 'Shamsun')"
Oman,Shamsun,1,"('Oman', 'Shamsun')"
New Zealand,Oman,1,"('New Zealand', 'Oman')"
Clement,France,1,"('Clement', 'France')"
Petra,Wendy,1,"('Petra', 'Wendy')"
Rachel,Wendy,1,"('Rachel', 'Wendy')"
Petra,Rachel,1,"('Petra', 'Rachel')"
Petra,UK,1,"('Petra', 'UK')"
Malu,UK,1,"('Malu', 'UK')"
Brazil,Malu,2,"('Brazil', 'Malu')"
Germany,Stephanie,1,"('Germany', 'Stephanie')"
Peoples R China,Xing,6,"('Peoples R China', 'Xing')"
Jeong-Bon,Peoples R China,2,"('Jeong-Bon', 'Peoples R China')"
Haibin,Peoples R China,2,"('Haibin', 'Peoples R China')"
Jeong-Bon,Xing,1,"('Jeong-Bon', 'Xing')"
Haibin,Xing,1,"('Haibin', 'Xing')"
Haibin,Jeong-Bon,1,"('Haibin', 'Jeong-Bon')"
Peoples R China,Zheng,2,"('Peoples R China', 'Zheng')"
France,Poland,1,"('France', 'Poland')"
Poland,Sweden,1,"('Poland', 'Sweden')"
Maria,Tanja,1,"('Maria', 'Tanja')"
Tanja,USA,1,"('Tanja', 'USA')"
Maria,USA,5,"('Maria', 'USA')"
Norway,South Korea,1,"('Norway', 'South Korea')"
UK,Wen,1,"('UK', 'Wen')"
Oliver,USA,1,"('Oliver', 'USA')"
Oliver,Peoples R China,1,"('Oliver', 'Peoples R China')"
Spain,Victor Jesus,2,"('Spain', 'Victor Jesus')"
Karoline,Switzerland,1,"('Karoline', 'Switzerland')"
France,Karoline,1,"('France', 'Karoline')"
Shenggang,USA,1,"('Shenggang', 'USA')"
USA,Xiaohong,2,"('USA', 'Xiaohong')"
Shenggang,Xiaohong,1,"('Shenggang', 'Xiaohong')"
Peoples R China,Xiaohong,3,"('Peoples R China', 'Xiaohong')"
UK,Xiaohong,1,"('UK', 'Xiaohong')"
India,Singapore,2,"('India', 'Singapore')"
India,Netherlands,2,"('India', 'Netherlands')"
Lan,Leslie,1,"('Lan', 'Leslie')"
Canada,Leslie,1,"('Canada', 'Leslie')"
Canada,Lan,1,"('Canada', 'Lan')"
Marjolein,New Zealand,2,"('Marjolein', 'New Zealand')"
Anthony,Nicholas,1,"('Anthony', 'Nicholas')"
Nicholas,USA,2,"('Nicholas', 'USA')"
Dan,Nathan,1,"('Dan', 'Nathan')"
Nathan,Peoples R China,1,"('Nathan', 'Peoples R China')"
Australia,Dan,2,"('Australia', 'Dan')"
Dan,Peoples R China,1,"('Dan', 'Peoples R China')"
Panagiota,UK,1,"('Panagiota', 'UK')"
France,Panagiota,1,"('France', 'Panagiota')"
Kwame Ohene,Leif Atle,1,"('Kwame Ohene', 'Leif Atle')"
Leif Atle,Roy,1,"('Leif Atle', 'Roy')"
Kwame Ohene,Roy,1,"('Kwame Ohene', 'Roy')"
Kwame Ohene,Norway,1,"('Kwame Ohene', 'Norway')"
Norway,Roy,1,"('Norway', 'Roy')"
Maja,Slovenia,1,"('Maja', 'Slovenia')"
Ivy,USA,2,"('Ivy', 'USA')"
Ireland,Saudi Arabia,1,"('Ireland', 'Saudi Arabia')"
Guangming,Xin,1,"('Guangming', 'Xin')"
Guangming,Sirui,1,"('Guangming', 'Sirui')"
Sirui,Xin,1,"('Sirui', 'Xin')"
Peoples R China,Sirui,3,"('Peoples R China', 'Sirui')"
Canada,India,2,"('Canada', 'India')"
Armand,Blanche,1,"('Armand', 'Blanche')"
Blanche,France,1,"('Blanche', 'France')"
Armand,France,1,"('Armand', 'France')"
Ester,UK,2,"('Ester', 'UK')"
Ester,Italy,1,"('Ester', 'Italy')"
Sweden,Vikash Kumar,1,"('Sweden', 'Vikash Kumar')"
Italy,Vikash Kumar,1,"('Italy', 'Vikash Kumar')"
Australia,Pornsit,1,"('Australia', 'Pornsit')"
UK,Wendy Mason,1,"('UK', 'Wendy Mason')"
Catherine,USA,1,"('Catherine', 'USA')"
Australia,Catherine,1,"('Australia', 'Catherine')"
Jean-Pierre,Netherlands,2,"('Jean-Pierre', 'Netherlands')"
Belgium,Jean-Pierre,1,"('Belgium', 'Jean-Pierre')"
Xiao,Yaoshan,4,"('Xiao', 'Yaoshan')"
Peoples R China,Xiao,6,"('Peoples R China', 'Xiao')"
Xiao,Xiao,1,"('Xiao', 'Xiao')"
Peoples R China,Yaoshan,6,"('Peoples R China', 'Yaoshan')"
Yaoshan,Yaoshan,1,"('Yaoshan', 'Yaoshan')"
Oluseyi,UK,1,"('Oluseyi', 'UK')"
Lulamile,Ralph,1,"('Lulamile', 'Ralph')"
Gina,Ralph,1,"('Gina', 'Ralph')"
Australia,Ralph,1,"('Australia', 'Ralph')"
Ralph,USA,1,"('Ralph', 'USA')"
Lulamile,South Africa,3,"('Lulamile', 'South Africa')"
Gina,Lulamile,1,"('Gina', 'Lulamile')"
Australia,Lulamile,1,"('Australia', 'Lulamile')"
Lulamile,USA,1,"('Lulamile', 'USA')"
Gina,South Africa,3,"('Gina', 'South Africa')"
Australia,Gina,1,"('Australia', 'Gina')"
Gina,USA,1,"('Gina', 'USA')"
Ghana,USA,1,"('Ghana', 'USA')"
Ghana,South Africa,1,"('Ghana', 'South Africa')"
Canada,Errol,4,"('Canada', 'Errol')"
Errol,USA,2,"('Errol', 'USA')"
Indonesia,Tiyas Kurnia,1,"('Indonesia', 'Tiyas Kurnia')"
Malaysia,Tiyas Kurnia,1,"('Malaysia', 'Tiyas Kurnia')"
Indonesia,Malaysia,2,"('Indonesia', 'Malaysia')"
Finland,Suvi,2,"('Finland', 'Suvi')"
Late,USA,1,"('Late', 'USA')"
Jihyeon,USA,1,"('Jihyeon', 'USA')"
Portugal,Raysa Geaquinto,4,"('Portugal', 'Raysa Geaquinto')"
Raysa Geaquinto,Raysa Geaquinto,1,"('Raysa Geaquinto', 'Raysa Geaquinto')"
Travis,USA,1,"('Travis', 'USA')"
Angel,Maria del Mar,1,"('Angel', 'Maria del Mar')"
Maria del Mar,Spain,1,"('Maria del Mar', 'Spain')"
Angel,Spain,1,"('Angel', 'Spain')"
Australia,Hari,1,"('Australia', 'Hari')"
Ernesto,India,6,"('Ernesto', 'India')"
Spain,Susana,1,"('Spain', 'Susana')"
Susana,USA,1,"('Susana', 'USA')"
Denmark,U Arab Emirates,1,"('Denmark', 'U Arab Emirates')"
Germany,Gregory,1,"('Germany', 'Gregory')"
France,Gregory,1,"('France', 'Gregory')"
Dean,Gregory,1,"('Dean', 'Gregory')"
Canada,Dean,4,"('Canada', 'Dean')"
Canada,Gregory,2,"('Canada', 'Gregory')"
Jean-Christophe,Nicole,1,"('Jean-Christophe', 'Nicole')"
Jean-Christophe,Switzerland,1,"('Jean-Christophe', 'Switzerland')"
Nicole,Switzerland,1,"('Nicole', 'Switzerland')"
France,Lotte,1,"('France', 'Lotte')"
Belgium,Lotte,1,"('Belgium', 'Lotte')"
Belgium,Marek,2,"('Belgium', 'Marek')"
Cong,Xing,1,"('Cong', 'Xing')"
Cong,Peoples R China,2,"('Cong', 'Peoples R China')"
Mary,UK,2,"('Mary', 'UK')"
Lisa,UK,1,"('Lisa', 'UK')"
France,India,6,"('France', 'India')"
India,Tunisia,2,"('India', 'Tunisia')"
France,Thyra Uth,1,"('France', 'Thyra Uth')"
Denmark,Thyra Uth,1,"('Denmark', 'Thyra Uth')"
Thyra Uth,UK,1,"('Thyra Uth', 'UK')"
UK,Vera,1,"('UK', 'Vera')"
Felix,Yuri,1,"('Felix', 'Yuri')"
Felix,New Zealand,3,"('Felix', 'New Zealand')"
New Zealand,Yuri,1,"('New Zealand', 'Yuri')"
Kristian,Norway,1,"('Kristian', 'Norway')"
Matej,Slovenia,2,"('Matej', 'Slovenia')"
Tulin,UK,1,"('Tulin', 'UK')"
Eva,Germany,1,"('Eva', 'Germany')"
Eva,New Zealand,1,"('Eva', 'New Zealand')"
Carlos,Italy,1,"('Carlos', 'Italy')"
Denise,Germany,5,"('Denise', 'Germany')"
David,Jordan,1,"('David', 'Jordan')"
Stefan,USA,2,"('Stefan', 'USA')"
Italy,Stefan,1,"('Italy', 'Stefan')"
Eva,Portugal,1,"('Eva', 'Portugal')"
Adeline,Nadja,1,"('Adeline', 'Nadja')"
Belgium,Nadja,3,"('Belgium', 'Nadja')"
Germany,Nadja,1,"('Germany', 'Nadja')"
Adeline,Belgium,3,"('Adeline', 'Belgium')"
Adeline,Germany,1,"('Adeline', 'Germany')"
Jawad,Pakistan,1,"('Jawad', 'Pakistan')"
Bernard,Stefan,1,"('Bernard', 'Stefan')"
Adrian,Stefan,1,"('Adrian', 'Stefan')"
Adrian,Bernard,1,"('Adrian', 'Bernard')"
Bernard,France,1,"('Bernard', 'France')"
Adrian,France,1,"('Adrian', 'France')"
Finland,Norway,2,"('Finland', 'Norway')"
Lebanon,Ramzi,2,"('Lebanon', 'Ramzi')"
Francesco,USA,1,"('Francesco', 'USA')"
Australia,Francesco,1,"('Australia', 'Francesco')"
Francesco,Sweden,1,"('Francesco', 'Sweden')"
Mustafa,Paula,1,"('Mustafa', 'Paula')"
Mustafa,UK,1,"('Mustafa', 'UK')"
Paula,UK,1,"('Paula', 'UK')"
Navneet,Pramodita,1,"('Navneet', 'Pramodita')"
India,Navneet,1,"('India', 'Navneet')"
Navneet,USA,2,"('Navneet', 'USA')"
India,Pramodita,1,"('India', 'Pramodita')"
David,Dima,1,"('David', 'Dima')"
Dima,France,2,"('Dima', 'France')"
Christoph,Tobias,1,"('Christoph', 'Tobias')"
Bjoern,Tobias,1,"('Bjoern', 'Tobias')"
Bjoern,Christoph,1,"('Bjoern', 'Christoph')"
Christoph,Germany,1,"('Christoph', 'Germany')"
Bjoern,Germany,1,"('Bjoern', 'Germany')"
Canada,Marie,2,"('Canada', 'Marie')"
Quentin,USA,1,"('Quentin', 'USA')"
Alexander,Norway,1,"('Alexander', 'Norway')"
Alexander,Germany,1,"('Alexander', 'Germany')"
Australia,Xin,2,"('Australia', 'Xin')"
Berangere,Evelyne,1,"('Berangere', 'Evelyne')"
Evelyne,France,2,"('Evelyne', 'France')"
Berangere,France,2,"('Berangere', 'France')"
Leo,USA,1,"('Leo', 'USA')"
Leo,Peoples R China,1,"('Leo', 'Peoples R China')"
France,Rania,2,"('France', 'Rania')"
Rania,Rania,1,"('Rania', 'Rania')"
Nadia,Rania,2,"('Nadia', 'Rania')"
Rania,Tunisia,2,"('Rania', 'Tunisia')"
France,Nadia,2,"('France', 'Nadia')"
Nadia,Tunisia,1,"('Nadia', 'Tunisia')"
Argentina,Colombia,3,"('Argentina', 'Colombia')"
Argentina,Mexico,1,"('Argentina', 'Mexico')"
USA,Vikram,2,"('USA', 'Vikram')"
Lebanon,U Arab Emirates,1,"('Lebanon', 'U Arab Emirates')"
Nicholas,UK,1,"('Nicholas', 'UK')"
South Korea,Youngsang,1,"('South Korea', 'Youngsang')"
U Arab Emirates,Youngsang,1,"('U Arab Emirates', 'Youngsang')"
Peoples R China,Youngsang,1,"('Peoples R China', 'Youngsang')"
Adi,USA,2,"('Adi', 'USA')"
Peoples R China,Yuyuan,1,"('Peoples R China', 'Yuyuan')"
Australia,Yuyuan,1,"('Australia', 'Yuyuan')"
Patrick,Paula,1,"('Patrick', 'Paula')"
Patrick,Spain,1,"('Patrick', 'Spain')"
Germany,Patrick,1,"('Germany', 'Patrick')"
Australia,Patrick,3,"('Australia', 'Patrick')"
Paula,Spain,1,"('Paula', 'Spain')"
Germany,Paula,1,"('Germany', 'Paula')"
Australia,Paula,1,"('Australia', 'Paula')"
USA,Yiwei,2,"('USA', 'Yiwei')"
Charalampos,Greece,1,"('Charalampos', 'Greece')"
Charalampos,USA,1,"('Charalampos', 'USA')"
Charalampos,UK,1,"('Charalampos', 'UK')"
Arsalan Mujahid,Malaysia,1,"('Arsalan Mujahid', 'Malaysia')"
Malaysia,Muhammad,1,"('Malaysia', 'Muhammad')"
Arsalan Mujahid,UK,3,"('Arsalan Mujahid', 'UK')"
Muhammad,UK,3,"('Muhammad', 'UK')"
Arsalan Mujahid,France,2,"('Arsalan Mujahid', 'France')"
France,Muhammad,2,"('France', 'Muhammad')"
Arsalan Mujahid,Muhammad,1,"('Arsalan Mujahid', 'Muhammad')"
Denmark,Lebanon,2,"('Denmark', 'Lebanon')"
Lebanon,South Africa,1,"('Lebanon', 'South Africa')"
Denmark,South Africa,1,"('Denmark', 'South Africa')"
Qatar,USA,2,"('Qatar', 'USA')"
Andrew,Australia,1,"('Andrew', 'Australia')"
Ernesto,Premilla,2,"('Ernesto', 'Premilla')"
India,Premilla,3,"('India', 'Premilla')"
Australia,Haozhi,1,"('Australia', 'Haozhi')"
Haozhi,USA,1,"('Haozhi', 'USA')"
USA,Yanju,1,"('USA', 'Yanju')"
Xiaohong,Yanju,1,"('Xiaohong', 'Yanju')"
Peoples R China,Yanju,1,"('Peoples R China', 'Yanju')"
Peoples R China,Zhe,5,"('Peoples R China', 'Zhe')"
Indonesia,Kanti,1,"('Indonesia', 'Kanti')"
Australia,Kanti,1,"('Australia', 'Kanti')"
Netherlands,Tjidde,5,"('Netherlands', 'Tjidde')"
Jordan,Pakistan,1,"('Jordan', 'Pakistan')"
Natalija,Netherlands,2,"('Natalija', 'Netherlands')"
Natalija,Natalija,1,"('Natalija', 'Natalija')"
Germany,Natalija,4,"('Germany', 'Natalija')"
Jeroen,UK,2,"('Jeroen', 'UK')"
O. Dorian,USA,2,"('O. Dorian', 'USA')"
O. Dorian,Peoples R China,1,"('O. Dorian', 'Peoples R China')"
Bao,Xing,1,"('Bao', 'Xing')"
Bao,Peoples R China,2,"('Bao', 'Peoples R China')"
Saudi Arabia,U Arab Emirates,1,"('Saudi Arabia', 'U Arab Emirates')"
Taiwan,U Arab Emirates,1,"('Taiwan', 'U Arab Emirates')"
Saudi Arabia,Taiwan,1,"('Saudi Arabia', 'Taiwan')"
Greece,Gregory,1,"('Greece', 'Gregory')"
Belgium,Claudia,4,"('Belgium', 'Claudia')"
Claudia,Claudia,1,"('Claudia', 'Claudia')"
Claudia,France,2,"('Claudia', 'France')"
Fotios,France,2,"('Fotios', 'France')"
Fotios,Lebanon,1,"('Fotios', 'Lebanon')"
Sandra,USA,2,"('Sandra', 'USA')"
Brazil,Sandra,1,"('Brazil', 'Sandra')"
Germany,Guli-Sanam,2,"('Germany', 'Guli-Sanam')"
Guli-Sanam,Nils Christian,1,"('Guli-Sanam', 'Nils Christian')"
Germany,Nils Christian,2,"('Germany', 'Nils Christian')"
Germany,Jie,2,"('Germany', 'Jie')"
Italy,Jie,1,"('Italy', 'Jie')"
Katharina,Patrizia,1,"('Katharina', 'Patrizia')"
Katharina,Switzerland,1,"('Katharina', 'Switzerland')"
Patrizia,Switzerland,1,"('Patrizia', 'Switzerland')"
Daphne,UK,1,"('Daphne', 'UK')"
Romania,UK,4,"('Romania', 'UK')"
Abdullah Hasan,UK,3,"('Abdullah Hasan', 'UK')"
Ogeday,UK,3,"('Ogeday', 'UK')"
Abdullah Hasan,Romania,1,"('Abdullah Hasan', 'Romania')"
Ogeday,Romania,1,"('Ogeday', 'Romania')"
Abdullah Hasan,Ogeday,1,"('Abdullah Hasan', 'Ogeday')"
Emma,UK,1,"('Emma', 'UK')"
Australia,Emma,1,"('Australia', 'Emma')"
Matias,USA,1,"('Matias', 'USA')"
Finland,Matias,2,"('Finland', 'Matias')"
Desiree,Jianhong,1,"('Desiree', 'Jianhong')"
Jianhong,Netherlands,1,"('Jianhong', 'Netherlands')"
Canada,Jianhong,1,"('Canada', 'Jianhong')"
Desiree,Netherlands,1,"('Desiree', 'Netherlands')"
Canada,Desiree,1,"('Canada', 'Desiree')"
Charbel Jose Chiappetta,UK,4,"('Charbel Jose Chiappetta', 'UK')"
Charbel Jose Chiappetta,Charbel Jose Chiappetta,1,"('Charbel Jose Chiappetta', 'Charbel Jose Chiappetta')"
Ahmed Mohammed Sayed,UK,1,"('Ahmed Mohammed Sayed', 'UK')"
Ahmed Mohammed Sayed,Romania,1,"('Ahmed Mohammed Sayed', 'Romania')"
Jaakko,Risto,1,"('Jaakko', 'Risto')"
Finland,Jaakko,2,"('Finland', 'Jaakko')"
Finland,Risto,2,"('Finland', 'Risto')"
Kallol,USA,2,"('Kallol', 'USA')"
Godwin,Kallol,1,"('Godwin', 'Kallol')"
Birte,Germany,2,"('Birte', 'Germany')"
Maria,Spyros,1,"('Maria', 'Spyros')"
Greece,Maria,1,"('Greece', 'Maria')"
Greece,Spyros,1,"('Greece', 'Spyros')"
Peoples R China,Weiling,2,"('Peoples R China', 'Weiling')"
USA,Weiling,1,"('USA', 'Weiling')"
Singapore,Weiling,1,"('Singapore', 'Weiling')"
Heungsik,South Korea,1,"('Heungsik', 'South Korea')"
Heungsik,UK,1,"('Heungsik', 'UK')"
Heungsik,USA,1,"('Heungsik', 'USA')"
Australia,[Thang Van Nguyen,1,"('Australia', '[Thang Van Nguyen')"
Vietnam,[Thang Van Nguyen,2,"('Vietnam', '[Thang Van Nguyen')"
Cathy Yang,Remus,1,"('Cathy Yang', 'Remus')"
Remus,Sandy,1,"('Remus', 'Sandy')"
Remus,Singapore,1,"('Remus', 'Singapore')"
Peoples R China,Remus,1,"('Peoples R China', 'Remus')"
Cathy Yang,Sandy,1,"('Cathy Yang', 'Sandy')"
Cathy Yang,Singapore,1,"('Cathy Yang', 'Singapore')"
Cathy Yang,Peoples R China,1,"('Cathy Yang', 'Peoples R China')"
Sandy,Singapore,1,"('Sandy', 'Singapore')"
Peoples R China,Sandy,1,"('Peoples R China', 'Sandy')"
Germany,Hagen,6,"('Germany', 'Hagen')"
Hagen,Hagen,1,"('Hagen', 'Hagen')"
Dana,Denmark,2,"('Dana', 'Denmark')"
Dana,France,1,"('Dana', 'France')"
Caroline,Finola,1,"('Caroline', 'Finola')"
Finola,UK,1,"('Finola', 'UK')"
Krzysztof,USA,1,"('Krzysztof', 'USA')"
Kamel,Olga,1,"('Kamel', 'Olga')"
Canada,Olga,1,"('Canada', 'Olga')"
France,Kamel,1,"('France', 'Kamel')"
Canada,Kamel,1,"('Canada', 'Kamel')"
Armenia,France,1,"('Armenia', 'France')"
Armenia,Germany,1,"('Armenia', 'Germany')"
Armenia,Pakistan,1,"('Armenia', 'Pakistan')"
Armenia,Spain,1,"('Armenia', 'Spain')"
Francesco,Luxembourg,1,"('Francesco', 'Luxembourg')"
Francesco,Russia,1,"('Francesco', 'Russia')"
Luxembourg,Russia,1,"('Luxembourg', 'Russia')"
Peoples R China,Ziliang,2,"('Peoples R China', 'Ziliang')"
USA,Ziliang,1,"('USA', 'Ziliang')"
Ireland,Sweden,3,"('Ireland', 'Sweden')"
Pierre,Remi,1,"('Pierre', 'Remi')"
France,Remi,1,"('France', 'Remi')"
France,Pierre,1,"('France', 'Pierre')"
Susanna,Sweden,4,"('Susanna', 'Sweden')"
Susanna,Susanna,1,"('Susanna', 'Susanna')"
Jorge,Jose Luis,1,"('Jorge', 'Jose Luis')"
Jose Luis,Spain,1,"('Jose Luis', 'Spain')"
Australia,Felix,1,"('Australia', 'Felix')"
Felix,Indonesia,1,"('Felix', 'Indonesia')"
Indonesia,New Zealand,2,"('Indonesia', 'New Zealand')"
Tarek,UK,3,"('Tarek', 'UK')"
Mohamed,UK,3,"('Mohamed', 'UK')"
Mohamed,Tarek,1,"('Mohamed', 'Tarek')"
Egypt,Tarek,1,"('Egypt', 'Tarek')"
Egypt,Mohamed,1,"('Egypt', 'Mohamed')"
UK,Zhichuan Frank,1,"('UK', 'Zhichuan Frank')"
Canada,Zhichuan Frank,1,"('Canada', 'Zhichuan Frank')"
Bangladesh,UK,1,"('Bangladesh', 'UK')"
Argentina,Argentina,2,"('Argentina', 'Argentina')"
Alex,E. Julie,1,"('Alex', 'E. Julie')"
E. Julie,UK,1,"('E. Julie', 'UK')"
India,Madhu,1,"('India', 'Madhu')"
Chenghao,Peoples R China,4,"('Chenghao', 'Peoples R China')"
Jing,Peoples R China,4,"('Jing', 'Peoples R China')"
Peoples R China,Ruiqian,4,"('Peoples R China', 'Ruiqian')"
Chenghao,Jing,1,"('Chenghao', 'Jing')"
Chenghao,Ruiqian,1,"('Chenghao', 'Ruiqian')"
Jing,Ruiqian,1,"('Jing', 'Ruiqian')"
Andreas,Wolfgang,1,"('Andreas', 'Wolfgang')"
Malaysia,Wan Norhasniah Wan,1,"('Malaysia', 'Wan Norhasniah Wan')"
Greece,Irene,1,"('Greece', 'Irene')"
Lilian,UK,1,"('Lilian', 'UK')"
Lilian,Singapore,1,"('Lilian', 'Singapore')"
Mieke,Netherlands,2,"('Mieke', 'Netherlands')"
Beatrice,Netherlands,2,"('Beatrice', 'Netherlands')"
Netherlands,Saskia,2,"('Netherlands', 'Saskia')"
Beatrice,Mieke,1,"('Beatrice', 'Mieke')"
Mieke,Saskia,1,"('Mieke', 'Saskia')"
Belgium,Mieke,1,"('Belgium', 'Mieke')"
Mieke,UK,2,"('Mieke', 'UK')"
Mieke,Peoples R China,1,"('Mieke', 'Peoples R China')"
Beatrice,Saskia,1,"('Beatrice', 'Saskia')"
Beatrice,Belgium,1,"('Beatrice', 'Belgium')"
Beatrice,UK,2,"('Beatrice', 'UK')"
Beatrice,Peoples R China,1,"('Beatrice', 'Peoples R China')"
Belgium,Saskia,1,"('Belgium', 'Saskia')"
Saskia,UK,2,"('Saskia', 'UK')"
Peoples R China,Saskia,1,"('Peoples R China', 'Saskia')"
Italy,Luigino,4,"('Italy', 'Luigino')"
Czech Republic,Luigino,1,"('Czech Republic', 'Luigino')"
Germany,Luigino,1,"('Germany', 'Luigino')"
Czech Republic,Italy,3,"('Czech Republic', 'Italy')"
Czech Republic,Germany,1,"('Czech Republic', 'Germany')"
Fangjun,Luying,1,"('Fangjun', 'Luying')"
Fangjun,Peoples R China,3,"('Fangjun', 'Peoples R China')"
Luying,Peoples R China,3,"('Luying', 'Peoples R China')"
Andreas,UK,1,"('Andreas', 'UK')"
Anne,UK,1,"('Anne', 'UK')"
Andreas,USA,1,"('Andreas', 'USA')"
Anne,USA,1,"('Anne', 'USA')"
Stefan,Switzerland,1,"('Stefan', 'Switzerland')"
Andreas,Switzerland,1,"('Andreas', 'Switzerland')"
Anne,Switzerland,1,"('Anne', 'Switzerland')"
Andreas,Stefan,1,"('Andreas', 'Stefan')"
Anne,Stefan,1,"('Anne', 'Stefan')"
Andreas,Anne,1,"('Andreas', 'Anne')"
Anne,Germany,2,"('Anne', 'Germany')"
Bonnie,Canada,2,"('Bonnie', 'Canada')"
Peoples R China,Wenwen,2,"('Peoples R China', 'Wenwen')"
Peoples R China,Xiao-Ling,2,"('Peoples R China', 'Xiao-Ling')"
Yidong,Yongkang,1,"('Yidong', 'Yongkang')"
Peoples R China,Yidong,2,"('Peoples R China', 'Yidong')"
Peoples R China,Yongkang,2,"('Peoples R China', 'Yongkang')"
Nianqi,Xiaojun,1,"('Nianqi', 'Xiaojun')"
Peoples R China,Xiaojun,1,"('Peoples R China', 'Xiaojun')"
Canada,Xiaojun,1,"('Canada', 'Xiaojun')"
Nianqi,Peoples R China,1,"('Nianqi', 'Peoples R China')"
Canada,Nianqi,1,"('Canada', 'Nianqi')"
Corinna,Germany,2,"('Corinna', 'Germany')"
Layla,Stephen,1,"('Layla', 'Stephen')"
Australia,Stephen,2,"('Australia', 'Stephen')"
Australia,Kuwait,1,"('Australia', 'Kuwait')"
Chirag,India,2,"('Chirag', 'India')"
