,Pakistan,Slovenia,Greece,Lithuania,Tunisia,Argentina,India,Austria,Peru,Australia,Hungary,Lebanon,South Korea,Indonesia,Mauritius,Switzerland,Italy,Finland,United Kingdom,Vietnam,Turkiye,Denmark,Portugal,Netherlands,Mexico,Ireland,Sweden,Norway,Croatia,Spain,USA,Malaysia,South Africa,Belgium,Israel,Canada,Estonia,Japan,Kuwait,France,Jordan,Germany,North Macedonia,Colombia,Brazil,Egypt,Chile,Singapore,Ukraine,United Arab Emirates,Thailand,Nigeria,China,New Zealand,Kenya
France,567.0,12.0,1999.0,14.0,11134.0,739.0,66.0,319.0,1025.0,1161.0,265.0,4567.0,,552.0,1536.0,7414.0,1194.0,307.0,,,,179.0,354.0,1020.0,2246.0,458.0,487.0,170.0,,2226.0,,57.0,118.0,6722.0,267.0,1685.0,132.0,1661.0,96.0,,13.0,7661.0,,2979.0,4039.0,1177.0,890.0,177.0,,181.0,609.0,238.0,26479.0,340.0,144.0
Jordan,28.0,,290.0,1.0,44.0,,31.0,21.0,,227.0,10.0,170.0,,36.0,,9.0,139.0,3.0,,,,2.0,2.0,12.0,,11.0,47.0,8.0,1.0,25.0,,697.0,,,2876.0,72.0,,,1722.0,13.0,,27.0,,2.0,8.0,455.0,1.0,6.0,2108.0,4313.0,199.0,24.0,92.0,30.0,
Germany,,23.0,364.0,17.0,,,18.0,25096.0,,1497.0,2253.0,,,,17.0,12073.0,1421.0,525.0,,,,2377.0,558.0,24815.0,,474.0,1382.0,968.0,24.0,1414.0,,65.0,857.0,732.0,153.0,975.0,28.0,,,7661.0,27.0,,,,254.0,,13.0,,,138.0,337.0,,,643.0,
North Macedonia,,437.0,11.0,,,,,3.0,,36.0,,,,,,94.0,525.0,,,,,2.0,,59.0,,,3.0,17.0,12.0,12.0,,,,,,1.0,,,,,,,,,,,,,,11.0,,,,,
Colombia,,1.0,12.0,1.0,,,4.0,108.0,,1245.0,2.0,,,,,344.0,995.0,39.0,,,,29.0,40.0,225.0,,6.0,123.0,60.0,,5855.0,,14.0,17.0,124.0,14.0,672.0,7.0,,,2979.0,2.0,,,,360.0,,773.0,,,19.0,5.0,,,86.0,
Brazil,4.0,19.0,18.0,2.0,1.0,776.0,4.0,139.0,615.0,775.0,11.0,53.0,,8.0,,536.0,1107.0,90.0,,,,78.0,5172.0,203.0,93.0,30.0,112.0,116.0,,1541.0,,5.0,41.0,139.0,27.0,54.0,9.0,358.0,1.0,4039.0,8.0,254.0,,360.0,,6.0,75.0,,,57.0,12.0,52.0,314.0,166.0,26.0
Egypt,,2.0,160.0,,,,14.0,171.0,,189.0,16.0,,,,,124.0,644.0,45.0,,,,12.0,6.0,47.0,,26.0,103.0,26.0,1.0,67.0,,460.0,22.0,97.0,2.0,900.0,4.0,,,1177.0,455.0,,,,6.0,,,,,2948.0,6.0,,,21.0,
Chile,,,12.0,1.0,1.0,117.0,3.0,33.0,1046.0,557.0,4.0,,,,,115.0,207.0,24.0,,,,19.0,22.0,71.0,87.0,6.0,17.0,,3.0,1431.0,,2.0,8.0,54.0,8.0,6.0,2.0,,,890.0,1.0,13.0,,773.0,75.0,,,,,2.0,3.0,,7.0,125.0,
Singapore,,,,,,,98.0,8.0,,9379.0,10.0,,,,,123.0,11.0,22.0,,,,12.0,4.0,58.0,,85.0,30.0,21.0,,21.0,,796.0,17.0,8.0,5.0,336.0,1.0,,,177.0,6.0,,,,,,,,,11.0,50.0,,,240.0,
Ukraine,207.0,,,,473.0,,2516.0,,,,,455.0,,,,,,,,,,,,,,,,,,,,18.0,,,,,,,,,2108.0,,,,,,,,,,,,4341.0,,
United Arab Emirates,3080.0,1.0,26.0,15.0,114.0,7.0,7310.0,16.0,7.0,147.0,30.0,1252.0,,41.0,197.0,25.0,37.0,12.0,,,,19.0,16.0,,6.0,46.0,52.0,40.0,10.0,35.0,,28.0,88.0,29.0,,640.0,2.0,7.0,963.0,181.0,4313.0,138.0,11.0,19.0,57.0,2948.0,2.0,11.0,,,6.0,850.0,194.0,46.0,130.0
Thailand,78.0,2.0,2.0,1.0,3.0,3.0,282.0,32.0,3.0,3282.0,2.0,1.0,,323.0,3.0,83.0,76.0,183.0,,,,60.0,10.0,111.0,26.0,11.0,198.0,80.0,,27.0,,148.0,20.0,24.0,2.0,91.0,1.0,345.0,,609.0,199.0,337.0,,5.0,12.0,6.0,3.0,50.0,,6.0,,144.0,8444.0,457.0,25.0
Nigeria,,1.0,221.0,49.0,,,326.0,93.0,,398.0,475.0,,,,113.0,45.0,275.0,939.0,,,,43.0,10.0,176.0,,176.0,263.0,100.0,1.0,45.0,,4442.0,1906.0,156.0,7.0,2490.0,6.0,,,238.0,24.0,,,,52.0,,,,,850.0,144.0,,,43.0,
China,,21.0,40.0,13.0,,,682.0,688.0,,87497.0,245.0,,,,2.0,1098.0,7645.0,2129.0,,,,915.0,182.0,4638.0,,1471.0,3246.0,907.0,,1498.0,,6033.0,322.0,1113.0,65.0,34602.0,75.0,,,26479.0,92.0,,,,314.0,,7.0,,4341.0,194.0,8444.0,,,11337.0,
New Zealand,286.0,,9.0,,1.0,23.0,7248.0,52.0,5.0,2624.0,18.0,10.0,,372.0,17.0,53.0,8.0,40.0,,,,105.0,5.0,23.0,84.0,63.0,17.0,216.0,4.0,48.0,,1945.0,110.0,15.0,16.0,400.0,1.0,715.0,21.0,340.0,30.0,643.0,,86.0,166.0,21.0,125.0,240.0,,46.0,457.0,43.0,11337.0,,65.0
Kenya,,,41.0,,,,491.0,62.0,,1191.0,13.0,,,,21.0,38.0,96.0,388.0,,,,29.0,2.0,63.0,,10.0,56.0,80.0,1.0,9.0,,364.0,1006.0,115.0,4.0,420.0,,,,144.0,,,,,26.0,,,,,130.0,25.0,,,65.0,
